Country,Number of infections in 2023,Week number
Australia,3489,1
Australia,3282,2
Australia,3323,3
Australia,3214,4
Australia,3363,5
Australia,3200,6
Australia,3289,7
Australia,3230,8
Australia,3291,9
Australia,3366,10
Australia,3402,11
Australia,3318,12
Australia,3293,13
Australia,3266,14
Australia,3469,15
Australia,3523,16
Australia,3493,17
Australia,3521,18
Australia,3761,19
Australia,3796,20
Australia,3825,21
Australia,3922,22
Australia,3700,23
Australia,3620,24
Australia,3840,25
Australia,3745,26
Australia,3807,27
Australia,3703,28
Australia,3716,29
Australia,3724,30
Australia,3621,31
Australia,3614,32
Australia,3659,33
Australia,3512,34
Australia,3481,35
Australia,3429,36
Australia,3499,37
Australia,3309,38
Australia,..,39
Australia,..,40
Australia,..,41
Australia,..,42
Australia,..,43
Australia,..,44
Austria,2365,1
Austria,2123,2
Austria,1842,3
Austria,1775,4
Austria,1772,5
Austria,1682,6
Austria,1771,7
Austria,1874,8
Austria,1852,9
Austria,1849,10
Austria,1813,11
Austria,1758,12
Austria,1695,13
Austria,1693,14
Austria,1682,15
Austria,1731,16
Austria,1643,17
Austria,1588,18
Austria,1619,19
Austria,1527,20
Austria,1539,21
Austria,1525,22
Austria,1482,23
Austria,1532,24
Austria,1581,25
Austria,1408,26
Austria,1522,27
Austria,1540,28
Austria,1543,29
Austria,1450,30
Austria,1427,31
Austria,1545,32
Austria,1550,33
Austria,1612,34
Austria,1406,35
Austria,1529,36
Austria,1585,37
Austria,1507,38
Austria,1495,39
Austria,1565,40
Austria,1624,41
Austria,1652,42
Austria,1759,43
Austria,1707,44
Belgium,2797,1
Belgium,2663,2
Belgium,2345,3
Belgium,2324,4
Belgium,2380,5
Belgium,2332,6
Belgium,2411,7
Belgium,2297,8
Belgium,2324,9
Belgium,2402,10
Belgium,2304,11
Belgium,2253,12
Belgium,2239,13
Belgium,2104,14
Belgium,2082,15
Belgium,2040,16
Belgium,1964,17
Belgium,1970,18
Belgium,2071,19
Belgium,2039,20
Belgium,1923,21
Belgium,1935,22
Belgium,2115,23
Belgium,2134,24
Belgium,1921,25
Belgium,1917,26
Belgium,1934,27
Belgium,1968,28
Belgium,1751,29
Belgium,1851,30
Belgium,1772,31
Belgium,1906,32
Belgium,1949,33
Belgium,1948,34
Belgium,1824,35
Belgium,2013,36
Belgium,2077,37
Belgium,1868,38
Belgium,1962,39
Belgium,1972,40
Belgium,1979,41
Belgium,2118,42
Belgium,2160,43
Belgium,2043,44
Canada,7170,1
Canada,7120,2
Canada,6925,3
Canada,6670,4
Canada,6590,5
Canada,6780,6
Canada,6540,7
Canada,6385,8
Canada,6640,9
Canada,6475,10
Canada,6505,11
Canada,6405,12
Canada,6410,13
Canada,6255,14
Canada,6300,15
Canada,6220,16
Canada,6360,17
Canada,6170,18
Canada,6180,19
Canada,5895,20
Canada,5815,21
Canada,6100,22
Canada,5680,23
Canada,5960,24
Canada,5910,25
Canada,5835,26
Canada,5760,27
Canada,5750,28
Canada,5665,29
Canada,5865,30
Canada,5770,31
Canada,5665,32
Canada,5650,33
Canada,5695,34
Canada,5755,35
Canada,5520,36
Canada,..,37
Canada,..,38
Canada,..,39
Canada,..,40
Canada,..,41
Canada,..,42
Canada,..,43
Canada,..,44
Chile,2386,1
Chile,2236,2
Chile,2312,3
Chile,2210,4
Chile,2244,5
Chile,2328,6
Chile,2130,7
Chile,2133,8
Chile,2253,9
Chile,2188,10
Chile,2216,11
Chile,2262,12
Chile,2165,13
Chile,2152,14
Chile,2182,15
Chile,2273,16
Chile,2324,17
Chile,2290,18
Chile,2462,19
Chile,2486,20
Chile,2474,21
Chile,2584,22
Chile,2492,23
Chile,2614,24
Chile,2606,25
Chile,2442,26
Chile,2453,27
Chile,2570,28
Chile,2504,29
Chile,2389,30
Chile,2312,31
Chile,2382,32
Chile,2397,33
Chile,2256,34
Chile,2429,35
Chile,2334,36
Chile,2125,37
Chile,617,38
Chile,..,39
Chile,..,40
Chile,..,41
Chile,..,42
Chile,..,43
Chile,..,44
Colombia,5179,1
Colombia,5204,2
Colombia,5177,3
Colombia,5133,4
Colombia,1278,5
Colombia,..,6
Colombia,..,7
Colombia,..,8
Colombia,..,9
Colombia,..,10
Colombia,..,11
Colombia,..,12
Colombia,..,13
Colombia,..,14
Colombia,..,15
Colombia,..,16
Colombia,..,17
Colombia,..,18
Colombia,..,19
Colombia,..,20
Colombia,..,21
Colombia,..,22
Colombia,..,23
Colombia,..,24
Colombia,..,25
Colombia,..,26
Colombia,..,27
Colombia,..,28
Colombia,..,29
Colombia,..,30
Colombia,..,31
Colombia,..,32
Colombia,..,33
Colombia,..,34
Colombia,..,35
Colombia,..,36
Colombia,..,37
Colombia,..,38
Colombia,..,39
Colombia,..,40
Colombia,..,41
Colombia,..,42
Colombia,..,43
Colombia,..,44
Czechia,2918,1
Czechia,2609,2
Czechia,2479,3
Czechia,2299,4
Czechia,2325,5
Czechia,2279,6
Czechia,2316,7
Czechia,2281,8
Czechia,2291,9
Czechia,2307,10
Czechia,2198,11
Czechia,2250,12
Czechia,2166,13
Czechia,2093,14
Czechia,2203,15
Czechia,2131,16
Czechia,2054,17
Czechia,2096,18
Czechia,1951,19
Czechia,2015,20
Czechia,1937,21
Czechia,1937,22
Czechia,1965,23
Czechia,1929,24
Czechia,2084,25
Czechia,1908,26
Czechia,1944,27
Czechia,2027,28
Czechia,1927,29
Czechia,1832,30
Czechia,1844,31
Czechia,1953,32
Czechia,2076,33
Czechia,2160,34
Czechia,1890,35
Czechia,1885,36
Czechia,1918,37
Czechia,1977,38
Czechia,1913,39
Czechia,1994,40
Czechia,2141,41
Czechia,2149,42
Czechia,2154,43
Czechia,..,44
Denmark,1364,1
Denmark,1297,2
Denmark,1186,3
Denmark,1146,4
Denmark,1169,5
Denmark,1122,6
Denmark,1150,7
Denmark,1180,8
Denmark,1123,9
Denmark,1199,10
Denmark,1174,11
Denmark,1135,12
Denmark,1105,13
Denmark,1166,14
Denmark,1130,15
Denmark,1139,16
Denmark,1114,17
Denmark,1094,18
Denmark,1140,19
Denmark,1053,20
Denmark,1014,21
Denmark,991,22
Denmark,1017,23
Denmark,1034,24
Denmark,1071,25
Denmark,942,26
Denmark,1073,27
Denmark,1072,28
Denmark,999,29
Denmark,1024,30
Denmark,1018,31
Denmark,1009,32
Denmark,1011,33
Denmark,977,34
Denmark,1003,35
Denmark,1095,36
Denmark,1031,37
Denmark,993,38
Denmark,1051,39
Denmark,1036,40
Denmark,1073,41
Denmark,1076,42
